SGG1_CD,SD_CD,SD_NM,SGG1_NM,SGG1_FNM,Eng_NM
11010,11,서울특별시,종로구,서울특별시 종로구,Jongno-gu
11020,11,서울특별시,중구,서울특별시 중구,Jung-gu
11030,11,서울특별시,용산구,서울특별시 용산구,Yongsan-gu
11040,11,서울특별시,성동구,서울특별시 성동구,Seongdong-gu
11050,11,서울특별시,광진구,서울특별시 광진구,Gwangjin-gu
11060,11,서울특별시,동대문구,서울특별시 동대문구,Dongdaemun-gu
11070,11,서울특별시,중랑구,서울특별시 중랑구,Jungnang-gu
11080,11,서울특별시,성북구,서울특별시 성북구,Seongbuk-gu
11090,11,서울특별시,강북구,서울특별시 강북구,Gangbuk-gu
11100,11,서울특별시,도봉구,서울특별시 도봉구,Dobong-gu
11110,11,서울특별시,노원구,서울특별시 노원구,Nowon-gu
11120,11,서울특별시,은평구,서울특별시 은평구,Eunpyeong-gu
11130,11,서울특별시,서대문구,서울특별시 서대문구,Seodaemun-gu
11140,11,서울특별시,마포구,서울특별시 마포구,Mapo-gu
11150,11,서울특별시,양천구,서울특별시 양천구,Yangcheon-gu
11160,11,서울특별시,강서구,서울특별시 강서구,Gangseo-gu
11170,11,서울특별시,구로구,서울특별시 구로구,Guro-gu
11180,11,서울특별시,금천구,서울특별시 금천구,Geumcheon-gu
11190,11,서울특별시,영등포구,서울특별시 영등포구,Yeongdeungpo-gu
11200,11,서울특별시,동작구,서울특별시 동작구,Dongjak-gu
11210,11,서울특별시,관악구,서울특별시 관악구,Gwanak-gu
11220,11,서울특별시,서초구,서울특별시 서초구,Seocho-gu
11230,11,서울특별시,강남구,서울특별시 강남구,Gangnam-gu
11240,11,서울특별시,송파구,서울특별시 송파구,Songpa-gu
11250,11,서울특별시,강동구,서울특별시 강동구,Gangdong-gu
21010,21,부산광역시,중구,부산광역시 중구,Jung-gu
21020,21,부산광역시,서구,부산광역시 서구,Seo-gu
21030,21,부산광역시,동구,부산광역시 동구,Dong-gu
21040,21,부산광역시,영도구,부산광역시 영도구,Yeongdo-gu
21050,21,부산광역시,부산진구,부산광역시 부산진구,Busanjin-gu
21060,21,부산광역시,동래구,부산광역시 동래구,Dongnae-gu
21070,21,부산광역시,남구,부산광역시 남구,Nam-gu
21080,21,부산광역시,북구,부산광역시 북구,Buk-gu
21090,21,부산광역시,해운대구,부산광역시 해운대구,Haeundae-gu
21100,21,부산광역시,사하구,부산광역시 사하구,Saha-gu
21110,21,부산광역시,금정구,부산광역시 금정구,Geumjeong-gu
21120,21,부산광역시,강서구,부산광역시 강서구,Gangseo-gu
21130,21,부산광역시,연제구,부산광역시 연제구,Yeonje-gu
21140,21,부산광역시,수영구,부산광역시 수영구,Suyeong-gu
21150,21,부산광역시,사상구,부산광역시 사상구,Sasang-gu
21310,21,부산광역시,기장군,부산광역시 기장군,Gijang-gun
22010,22,대구광역시,중구,대구광역시 중구,Jung-gu
22020,22,대구광역시,동구,대구광역시 동구,Dong-gu
22030,22,대구광역시,서구,대구광역시 서구,Seo-gu
22040,22,대구광역시,남구,대구광역시 남구,Nam-gu
22050,22,대구광역시,북구,대구광역시 북구,Buk-gu
22060,22,대구광역시,수성구,대구광역시 수성구,Suseong-gu
22070,22,대구광역시,달서구,대구광역시 달서구,Dalseo-gu
22310,22,대구광역시,달성군,대구광역시 달성군,Dalseong-gun
23010,23,인천광역시,중구,인천광역시 중구,Jung-gu
23020,23,인천광역시,동구,인천광역시 동구,Dong-gu
23040,23,인천광역시,연수구,인천광역시 연수구,Yeonsu-gu
23050,23,인천광역시,남동구,인천광역시 남동구,Namdong-gu
23060,23,인천광역시,부평구,인천광역시 부평구,Bupyeong-gu
23070,23,인천광역시,계양구,인천광역시 계양구,Gyeyang-gu
23080,23,인천광역시,서구,인천광역시 서구,Seo-gu
23090,23,인천광역시,미추홀구,인천광역시 미추홀구,Michuhol-gu
23310,23,인천광역시,강화군,인천광역시 강화군,Ganghwa-gun
23320,23,인천광역시,옹진군,인천광역시 옹진군,Ongjin-gun
24010,24,광주광역시,동구,광주광역시 동구,Dong-gu
24020,24,광주광역시,서구,광주광역시 서구,Seo-gu
24030,24,광주광역시,남구,광주광역시 남구,Nam-gu
24040,24,광주광역시,북구,광주광역시 북구,Buk-gu
24050,24,광주광역시,광산구,광주광역시 광산구,Gwangsan-gu
25010,25,대전광역시,동구,대전광역시 동구,Dong-gu
25020,25,대전광역시,중구,대전광역시 중구,Jung-gu
25030,25,대전광역시,서구,대전광역시 서구,Seo-gu
25040,25,대전광역시,유성구,대전광역시 유성구,Yuseong-gu
25050,25,대전광역시,대덕구,대전광역시 대덕구,Daedeok-gu
26010,26,울산광역시,중구,울산광역시 중구,Jung-gu
26020,26,울산광역시,남구,울산광역시 남구,Nam-gu
26030,26,울산광역시,동구,울산광역시 동구,Dong-gu
26040,26,울산광역시,북구,울산광역시 북구,Buk-gu
26310,26,울산광역시,울주군,울산광역시 울주군,Ulju-gun
29010,29,세종특별자치시,세종특별자치시,세종특별자치시,Sejong City
31010,31,경기도,수원시,경기도 수원시,Suwon-si
31020,31,경기도,성남시,경기도 성남시,Seongnam-si
31030,31,경기도,의정부시,경기도 의정부시,Uijeongbu-si
31040,31,경기도,안양시,경기도 안양시,Anyang-si
31050,31,경기도,부천시,경기도 부천시,Bucheon-si
31060,31,경기도,광명시,경기도 광명시,Gwangmyeong-si
31070,31,경기도,평택시,경기도 평택시,Pyeongtaek-si
31080,31,경기도,동두천시,경기도 동두천시,Dongducheon-si
31090,31,경기도,안산시,경기도 안산시,Ansan-si
31100,31,경기도,고양시,경기도 고양시,Goyang-si
31110,31,경기도,과천시,경기도 과천시,Gwacheon-si
31120,31,경기도,구리시,경기도 구리시,Guri-si
31130,31,경기도,남양주시,경기도 남양주시,Namyangju-si
31140,31,경기도,오산시,경기도 오산시,Osan-si
31150,31,경기도,시흥시,경기도 시흥시,Siheung-si
31160,31,경기도,군포시,경기도 군포시,Gunpo-si
31170,31,경기도,의왕시,경기도 의왕시,Uiwang-si
31180,31,경기도,하남시,경기도 하남시,Hanam-si
31190,31,경기도,용인시,경기도 용인시,Yongin-si
31200,31,경기도,파주시,경기도 파주시,Paju-si
31210,31,경기도,이천시,경기도 이천시,Icheon-si
31220,31,경기도,안성시,경기도 안성시,Anseong-si
31230,31,경기도,김포시,경기도 김포시,Gimpo-si
31240,31,경기도,화성시,경기도 화성시,Hwaseong-si
31250,31,경기도,광주시,경기도 광주시,Gwangju-si
31260,31,경기도,양주시,경기도 양주시,Yangju-si
31270,31,경기도,포천시,경기도 포천시,Pocheon-si
31280,31,경기도,여주시,경기도 여주시,Yeoju-si
31350,31,경기도,연천군,경기도 연천군,Yeoncheon-gun
31370,31,경기도,가평군,경기도 가평군,Gapyeong-gun
31380,31,경기도,양평군,경기도 양평군,Yangpyeong-gun
32010,32,강원도,춘천시,강원도 춘천시,Chuncheon-si
32020,32,강원도,원주시,강원도 원주시,Wonju-si
32030,32,강원도,강릉시,강원도 강릉시,Gangneung-si
32040,32,강원도,동해시,강원도 동해시,Donghae-si
32050,32,강원도,태백시,강원도 태백시,Taebaek-si
32060,32,강원도,속초시,강원도 속초시,Sokcho-si
32070,32,강원도,삼척시,강원도 삼척시,Samcheok-si
32310,32,강원도,홍천군,강원도 홍천군,Hongcheon-gun
32320,32,강원도,횡성군,강원도 횡성군,Hoengseong-gun
32330,32,강원도,영월군,강원도 영월군,Yeongwol-gun
32340,32,강원도,평창군,강원도 평창군,Pyeongchang-gun
32350,32,강원도,정선군,강원도 정선군,Jeongseon-gun
32360,32,강원도,철원군,강원도 철원군,Cheorwon-gun
32370,32,강원도,화천군,강원도 화천군,Hwacheon-gun
32380,32,강원도,양구군,강원도 양구군,Yanggu-gun
32390,32,강원도,인제군,강원도 인제군,Inje-gun
32400,32,강원도,고성군,강원도 고성군,Goseong-gun
32410,32,강원도,양양군,강원도 양양군,Yangyang-gun
33020,33,충청북도,충주시,충청북도 충주시,Chungju-si
33030,33,충청북도,제천시,충청북도 제천시,Jecheon-si
33040,33,충청북도,청주시,충청북도 청주시,Cheongju-si
33320,33,충청북도,보은군,충청북도 보은군,Boeun-gun
33330,33,충청북도,옥천군,충청북도 옥천군,Okcheon-gun
33340,33,충청북도,영동군,충청북도 영동군,Yeongdong-gun
33350,33,충청북도,진천군,충청북도 진천군,Jincheon-gun
33360,33,충청북도,괴산군,충청북도 괴산군,Goesan-gun
33370,33,충청북도,음성군,충청북도 음성군,Eumseong-gun
33380,33,충청북도,단양군,충청북도 단양군,Danyang-gun
33390,33,충청북도,증평군,충청북도 증평군,Jeungpyeong-gun
34010,34,충청남도,천안시,충청남도 천안시,Cheonan-si
34020,34,충청남도,공주시,충청남도 공주시,Gongju-si
34030,34,충청남도,보령시,충청남도 보령시,Boryeong-si
34040,34,충청남도,아산시,충청남도 아산시,Asan-si
34050,34,충청남도,서산시,충청남도 서산시,Seosan-si
34060,34,충청남도,논산시,충청남도 논산시,Nonsan-si
34070,34,충청남도,계룡시,충청남도 계룡시,Gyeryong-si
34080,34,충청남도,당진시,충청남도 당진시,Dangjin-si
34310,34,충청남도,금산군,충청남도 금산군,Geumsan-gun
34330,34,충청남도,부여군,충청남도 부여군,Buyeo-gun
34340,34,충청남도,서천군,충청남도 서천군,Seocheon-gun
34350,34,충청남도,청양군,충청남도 청양군,Cheongyang-gun
34360,34,충청남도,홍성군,충청남도 홍성군,Hongseong-gun
34370,34,충청남도,예산군,충청남도 예산군,Yesan-gun
34380,34,충청남도,태안군,충청남도 태안군,Taean-gun
35010,35,전라북도,전주시,전라북도 전주시,Jeonju-si
35020,35,전라북도,군산시,전라북도 군산시,Gunsan-si
35030,35,전라북도,익산시,전라북도 익산시,Iksan-si
35040,35,전라북도,정읍시,전라북도 정읍시,Jeongeup-si
35050,35,전라북도,남원시,전라북도 남원시,Namwon-si
35060,35,전라북도,김제시,전라북도 김제시,Gimje-si
35310,35,전라북도,완주군,전라북도 완주군,Wanju-gun
35320,35,전라북도,진안군,전라북도 진안군,Jinan-gun
35330,35,전라북도,무주군,전라북도 무주군,Muju-gun
35340,35,전라북도,장수군,전라북도 장수군,Jangsu-gun
35350,35,전라북도,임실군,전라북도 임실군,Imsil-gun
35360,35,전라북도,순창군,전라북도 순창군,Sunchang-gun
35370,35,전라북도,고창군,전라북도 고창군,Gochang-gun
35380,35,전라북도,부안군,전라북도 부안군,Buan-gun
36010,36,전라남도,목포시,전라남도 목포시,Mokpo-si
36020,36,전라남도,여수시,전라남도 여수시,Yeosu-si
36030,36,전라남도,순천시,전라남도 순천시,Suncheon-si
36040,36,전라남도,나주시,전라남도 나주시,Naju-si
36060,36,전라남도,광양시,전라남도 광양시,Gwangyang-si
36310,36,전라남도,담양군,전라남도 담양군,Damyang-gun
36320,36,전라남도,곡성군,전라남도 곡성군,Gokseong-gun
36330,36,전라남도,구례군,전라남도 구례군,Gurye-gun
36350,36,전라남도,고흥군,전라남도 고흥군,Goheung-gun
36360,36,전라남도,보성군,전라남도 보성군,Boseong-gun
36370,36,전라남도,화순군,전라남도 화순군,Hwasun-gun
36380,36,전라남도,장흥군,전라남도 장흥군,Jangheung-gun
36390,36,전라남도,강진군,전라남도 강진군,Gangjin-gun
36400,36,전라남도,해남군,전라남도 해남군,Haenam-gun
36410,36,전라남도,영암군,전라남도 영암군,Yeongam-gun
36420,36,전라남도,무안군,전라남도 무안군,Muan-gun
36430,36,전라남도,함평군,전라남도 함평군,Hampyeong-gun
36440,36,전라남도,영광군,전라남도 영광군,Yeonggwang-gun
36450,36,전라남도,장성군,전라남도 장성군,Jangseong-gun
36460,36,전라남도,완도군,전라남도 완도군,Wando-gun
36470,36,전라남도,진도군,전라남도 진도군,Jindo-gun
36480,36,전라남도,신안군,전라남도 신안군,Sinan-gun
37010,37,경상북도,포항시,경상북도 포항시,Pohang-si
37020,37,경상북도,경주시,경상북도 경주시,Gyeongju-si
37030,37,경상북도,김천시,경상북도 김천시,Gimcheon-si
37040,37,경상북도,안동시,경상북도 안동시,Andong-si
37050,37,경상북도,구미시,경상북도 구미시,Gumi-si
37060,37,경상북도,영주시,경상북도 영주시,Yeongju-si
37070,37,경상북도,영천시,경상북도 영천시,Yeongcheon-si
37080,37,경상북도,상주시,경상북도 상주시,Sangju-si
37090,37,경상북도,문경시,경상북도 문경시,Mungyeong-si
37100,37,경상북도,경산시,경상북도 경산시,Gyeongsan-si
37310,37,경상북도,군위군,경상북도 군위군,Gunwi-gun
37320,37,경상북도,의성군,경상북도 의성군,Uiseong-gun
37330,37,경상북도,청송군,경상북도 청송군,Cheongsong-gun
37340,37,경상북도,영양군,경상북도 영양군,Yeongyang-gun
37350,37,경상북도,영덕군,경상북도 영덕군,Yeongdeok-gun
37360,37,경상북도,청도군,경상북도 청도군,Cheongdo-gun
37370,37,경상북도,고령군,경상북도 고령군,Goryeong-gun
37380,37,경상북도,성주군,경상북도 성주군,Seongju-gun
37390,37,경상북도,칠곡군,경상북도 칠곡군,Chilgok-gun
37400,37,경상북도,예천군,경상북도 예천군,Yecheon-gun
37410,37,경상북도,봉화군,경상북도 봉화군,Bonghwa-gun
37420,37,경상북도,울진군,경상북도 울진군,Uljin-gun
37430,37,경상북도,울릉군,경상북도 울릉군,Ulleung-gun
38030,38,경상남도,진주시,경상남도 진주시,Jinju-si
38050,38,경상남도,통영시,경상남도 통영시,Tongyeong-si
38060,38,경상남도,사천시,경상남도 사천시,Sacheon-si
38070,38,경상남도,김해시,경상남도 김해시,Gimhae-si
38080,38,경상남도,밀양시,경상남도 밀양시,Miryang-si
38090,38,경상남도,거제시,경상남도 거제시,Geoje-si
38100,38,경상남도,양산시,경상남도 양산시,Yangsan-si
38110,38,경상남도,창원시,경상남도 창원시,Changwon-si
38310,38,경상남도,의령군,경상남도 의령군,Uiryeong-gun
38320,38,경상남도,함안군,경상남도 함안군,Haman-gun
38330,38,경상남도,창녕군,경상남도 창녕군,Changnyeong-gun
38340,38,경상남도,고성군,경상남도 고성군,Goseong-gun
38350,38,경상남도,남해군,경상남도 남해군,Namhae-gun
38360,38,경상남도,하동군,경상남도 하동군,Hadong-gun
38370,38,경상남도,산청군,경상남도 산청군,Sancheong-gun
38380,38,경상남도,함양군,경상남도 함양군,Hamyang-gun
38390,38,경상남도,거창군,경상남도 거창군,Geochang-gun
38400,38,경상남도,합천군,경상남도 합천군,Hapcheon-gun
39010,39,제주특별자치도,제주시,제주특별자치도 제주시,Jeju-si
39020,39,제주특별자치도,서귀포시,제주특별자치도 서귀포시,Seogwipo-si
